name,description,format,size_bytes,url,source_repo,studio,credit
posts.parquet,"Every post on this site — blog + LinkedIn articles, one row each.",parquet,22998,https://raw.githubusercontent.com/senthilsweb/senthilsweb.github.io/main/data/posts.parquet,https://github.com/senthilsweb/www.senthilsweb.com,true,
linkedin-posts.parquet,Standalone LinkedIn posts (no article behind them) with full text and impression/reaction/comment counts.,parquet,32518,https://raw.githubusercontent.com/senthilsweb/senthilsweb.github.io/main/data/linkedin-posts.parquet,https://github.com/senthilsweb/www.senthilsweb.com,true,
projects.parquet,The full open-source portfolio behind /projects.,parquet,10161,https://raw.githubusercontent.com/senthilsweb/senthilsweb.github.io/main/data/projects.parquet,https://github.com/senthilsweb/www.senthilsweb.com,true,
agents.parquet,"The AI agents behind /agents — purpose, framework and links for each.",parquet,2990,https://raw.githubusercontent.com/senthilsweb/senthilsweb.github.io/main/data/agents.parquet,https://github.com/senthilsweb/www.senthilsweb.com,true,
docker.parquet,"Public container images on ghcr and Docker Hub, with tags and pull counts.",parquet,3386,https://raw.githubusercontent.com/senthilsweb/senthilsweb.github.io/main/data/docker.parquet,https://github.com/senthilsweb/www.senthilsweb.com,true,
skills.parquet,"Claude Code skills published on this site, with file counts and download paths.",parquet,1561,https://raw.githubusercontent.com/senthilsweb/senthilsweb.github.io/main/data/skills.parquet,https://github.com/senthilsweb/www.senthilsweb.com,true,
decks.parquet,Reveal.js slide decks mirrored onto this site.,parquet,1858,https://raw.githubusercontent.com/senthilsweb/senthilsweb.github.io/main/data/decks.parquet,https://github.com/senthilsweb/www.senthilsweb.com,true,
datasets.parquet,This catalog itself — every dataset listed on /datasets.,parquet,4066,https://raw.githubusercontent.com/senthilsweb/senthilsweb.github.io/main/data/datasets.parquet,https://github.com/senthilsweb/www.senthilsweb.com,true,
linkedin-articles.csv,"Source CSV behind posts.parquet — LinkedIn articles, full export columns.",csv,63369,https://raw.githubusercontent.com/senthilsweb/senthilsweb.github.io/main/data/csv/linkedin-articles.csv,https://github.com/senthilsweb/www.senthilsweb.com,true,
linkedin-posts.csv,Source CSV behind linkedin-posts.parquet — standalone posts with engagement.,csv,53502,https://raw.githubusercontent.com/senthilsweb/senthilsweb.github.io/main/data/csv/linkedin-posts.csv,https://github.com/senthilsweb/www.senthilsweb.com,true,
